日期,每小时露点温度,每小时降水量,每小时相对湿度,每小时站压力,每小时可见度,每小时风速
DATE,HourlyDewPointTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlyStationPressure,HourlyVisibility,HourlyWindSpeed
2018-01-01T00:51:00,-3,0,58,30.32,10,18
2018-01-01T01:00:00,-3,,58,30.31,9.94,18
2018-01-01T01:51:00,-3,0,60,30.32,10,14
2018-01-01T02:51:00,-4,0,57,30.32,10,14
2018-01-01T03:51:00,-4,0,57,30.32,10,13
2018-01-01T04:00:00,-4,,57,30.31,9.94,13
2018-01-01T04:51:00,-5,0,57,30.32,10,17
2018-01-01T05:51:00,-5,0,57,30.34,10,16
2018-01-01T06:51:00,-5,0,57,30.35,10,21
2018-01-01T07:00:00,-5,,57,30.34,9.94,21
2018-01-01T07:51:00,-5,0,55,30.35,10,18
2018-01-01T08:51:00,-3,0,55,30.37,10,24
2018-01-01T09:51:00,-2,0,53,30.37,10,21
2018-01-01T10:00:00,-2,,53,30.37,9.94,21
2018-01-01T10:51:00,-3,0,49,30.37,10,24
2018-01-01T11:51:00,-3,0,44,30.35,10,21
2018-01-01T12:51:00,-3,0,41,30.34,10,20
2018-01-01T13:00:00,-3,,41,30.33,9.94,20
2018-01-01T13:51:00,-4,0,39,30.32,10,24
2018-01-01T14:51:00,-5,0,35,30.32,10,20
2018-01-01T15:51:00,-5,0,35,30.32,10,17
2018-01-01T16:00:00,-5,,35,30.32,9.94,17
2018-01-01T16:51:00,-6,0,35,30.34,10,16
2018-01-01T17:51:00,-6,0,34,30.35,10,15
2018-01-01T18:51:00,-5,0,35,30.35,10,17
2018-01-01T19:00:00,-5,,35,30.35,9.94,17
2018-01-01T19:51:00,-4,0,39,30.35,10,15
2018-01-01T20:51:00,-2,0,43,30.35,10,14
2018-01-01T21:51:00,2,0,51,30.35,10,14
2018-01-01T22:00:00,2,,51,30.35,9.94,14
2018-01-01T22:51:00,4,0,56,30.35,10,15
2018-01-01T23:51:00,4,0,59,30.35,10,15
2018-01-01T23:59:00,,,,,,
2018-01-02T00:51:00,3,0,59,30.35,10,16
2018-01-02T01:00:00,3,,59,30.34,9.94,16
2018-01-02T01:51:00,2,0,56,30.35,10,11
2018-01-02T02:51:00,2,0,56,30.37,10,15
2018-01-02T03:51:00,2,0,58,30.37,10,16
2018-01-02T04:00:00,2,,58,30.36,9.94,16
2018-01-02T04:51:00,2,0,58,30.37,10,18
2018-01-02T05:51:00,2,0,58,30.38,10,16
2018-01-02T06:51:00,3,0,61,30.4,10,15
2018-01-02T07:00:00,3,,61,30.4,9.94,15
2018-01-02T07:51:00,3,0,61,30.42,10,14
2018-01-02T08:51:00,3,0,56,30.42,10,14
2018-01-02T09:51:00,4,0,54,30.43,10,17
2018-01-02T10:00:00,4,,54,30.42,9.94,17
2018-01-02T10:51:00,4,0,50,30.42,10,15
2018-01-02T11:51:00,5,0,48,30.37,10,14
2018-01-02T12:51:00,6,0,46,30.35,10,17
